Product Name,Original Price,Discounted Price,Discount Percentage,Customer Rating (out of 5),Number of Reviews,Product URL,Category
Pearllight Electric Kettle - SPE01 - Cream,"UGX 47,500","UGX 36,000",24%,5.0,4.0,https://www.jumia.ug/pearllight-electric-kettle-spe01-cream-210206451.html,Kitchen Appliance
Digiwave 4 Burner Gas Stove Built In Tempered Glass Black Surface DWGC2002 - Black,"UGX 700,000","UGX 302,000",57%,,,https://www.jumia.ug/digiwave-4-burner-gas-stove-built-in-tempered-glass-black-surface-dwgc2002-black-249788098.html,Kitchen Appliance
Scarlett Hand Mixer For Kneading Dough And Beating Butter When Baking-White/Black,"UGX 65,000","UGX 59,999",8%,,,https://www.jumia.ug/scarlett-hand-mixer-for-kneading-dough-and-beating-butter-when-baking-whiteblack-102106131.html,Kitchen Appliance
Digiwave 9L Electric DWPC-1714 Pressure Cooker 1200W - Silver,"UGX 320,000","UGX 242,400",24%,4.0,2.0,https://www.jumia.ug/digiwave-9l-electric-dwpc-1714-pressure-cooker-1200w-silver-250886453.html,Kitchen Appliance
Kenwood 500W BLENDER 2L Glass Jug + Grinder + Chopper Attachment+ Ice Crushing(black) BLP15.360BK- Black,"UGX 284,100","UGX 247,900",13%,4.8,8.0,https://www.jumia.ug/kenwood-500w-blender-2l-glass-jug-grinder-chopper-attachment-ice-crushingblack-blp15.360bk-black-97573972.html,Kitchen Appliance
Powerful Electric Standmixer For Kneading Dough And Mixing Ingredients When Baking-Multicolour,"UGX 175,000","UGX 160,000",9%,,,https://www.jumia.ug/generic-powerful-electric-standmixer-for-kneading-dough-and-mixing-ingredients-when-baking-multicolour-233691510.html,Kitchen Appliance
Geepas 1.5L Automatic Rice Cooker - White,"UGX 130,000","UGX 123,000",5%,,,https://www.jumia.ug/geepas-1.5l-automatic-rice-cooker-white-215847716.html,Kitchen Appliance
"Sonifer Cordless Electric Kettle, 2 Litres - Black","UGX 80,000","UGX 72,000",10%,3.9,11.0,https://www.jumia.ug/sonifer-cordless-electric-kettle-2-litres-black-sonifer-mpg45770.html,Kitchen Appliance
SPJ 10L Air Fryer With 8 In 1 Programmable 1500W Oil Free LED Touch Screen With  Auto Shut Off Thermostat - Black,"UGX 250,000","UGX 224,600",10%,4.0,1.0,https://www.jumia.ug/spj-10l-air-fryer-with-8-in-1-programmable-1500w-oil-free-led-touch-screen-with-auto-shut-off-thermostat-black-246191338.html,Kitchen Appliance
RAF 12L Electric Oven R.5305 - Black,"UGX 160,000","UGX 120,000",25%,,,https://www.jumia.ug/12l-electric-oven-r.5305-black-raf-mpg6073894.html,Kitchen Appliance
3-in-1 Manual Citrus Juicer,"UGX 100,000","UGX 45,000",55%,,,https://www.jumia.ug/3-in-1-manual-citrus-juicer-generic-mpg5892524.html,Kitchen Appliance
Stainless Steel Frying Basket  Draining Oil After Frying chips Chicken-Silver,"UGX 33,000","UGX 29,999",9%,,,https://www.jumia.ug/generic-stainless-steel-frying-basket-draining-oil-after-frying-chips-chicken-silver-243249068.html,Kitchen Appliance
"Hisense Digital Microwave Oven With Door Mirror, 20 Litre - Silver,","UGX 420,000","UGX 399,000",5%,4.2,5.0,https://www.jumia.ug/hisense-digital-microwave-oven-with-door-mirror-20-litre-silver-38627413.html,Kitchen Appliance
Hoffmans Multi-Function Food Processor Model HM-1266,"UGX 350,000","UGX 163,000",53%,,,https://www.jumia.ug/hoffmans-multi-function-food-processor-model-hm-1266-245442642.html,Kitchen Appliance
Hoffmans 15L Digital Air Fryer Oven - Black,"UGX 400,000","UGX 280,000",30%,3.0,3.0,https://www.jumia.ug/hoffmans-15l-digital-air-fryer-oven-black-144949590.html,Kitchen Appliance
Digiwave DWSK-1031 5.0Litre Electric Kettle With Foldable Handle - Silver,"UGX 140,000","UGX 89,900",36%,4.2,29.0,https://www.jumia.ug/digiwave-dwsk-1031-5.0litre-electric-kettle-with-foldable-handle-silver-157864682.html,Kitchen Appliance
Kenwood Stainless Steel Kettle 1.7L Capacity - ZJM01- Silver/ Black(1 YR WRTY),,"UGX 223,600",,5.0,3.0,https://www.jumia.ug/kenwood-stainless-steel-kettle-1.7l-capacity-zjm01-silver-black1-yr-wrty-38178616.html,Kitchen Appliance
"Hoffmans HM-776 Mechanical Air Fryer – 6L, 2400W (Black With Copper Accents)","UGX 160,000","UGX 140,000",13%,,,https://www.jumia.ug/hoffmans-hm-776-mechanical-air-fryer-6l-2400w-black-with-copper-accents-251721725.html,Kitchen Appliance
Digiwave 48 Liters Electric Mini Oven 2000w With Rotisserie Function  - Black,"UGX 350,000","UGX 201,000",43%,,,https://www.jumia.ug/digiwave-48-liters-electric-mini-oven-2000w-with-rotisserie-function-black-249785832.html,Kitchen Appliance
Hoffmans 2.2L Electric Kettle Glass Tea Kettle Fast Boiling Auto Shut-off and Boil Dry Protection Transparent Electric Kettle Pacolator,"UGX 70,000","UGX 58,000",17%,,,https://www.jumia.ug/hoffmans-2.2l-electric-kettle-glass-tea-kettle-fast-boiling-auto-shut-off-and-boil-dry-protection-transparent-electric-kettle-pacolator-243937432.html,Kitchen Appliance
Hoffmans Mechanical 6L / 6 Liters Airfryer/ Air Fryer - Black,"UGX 200,000","UGX 144,000",28%,5.0,2.0,https://www.jumia.ug/mechanical-6l-6-liters-airfryer-air-fryer-black-hoffmans-mpg5634551.html,Kitchen Appliance
"Single Coil Hot Plate, Electric Plus A Free 4 way extension- Black","UGX 110,000","UGX 40,500",63%,2.0,2.0,https://www.jumia.ug/single-coil-hot-plate-electric-plus-a-free-4-way-extension-black-generic-mpg522247.html,Kitchen Appliance
Saachi 3 In 1 Electric Blender With Plastic Jar Stainless Jar And Plastic Mill-Transparent,"UGX 165,000","UGX 150,000",9%,2.0,1.0,https://www.jumia.ug/3-in-1-electric-blender-with-plastic-jar-stainless-jar-and-plastic-mill-transparent-saachi-mpg6203353.html,Kitchen Appliance
Geepas 3-IN-1 Rice Cooker & Steamer with Keep Warm 2.8Litres -White,"UGX 240,000","UGX 170,000",29%,3.7,6.0,https://www.jumia.ug/geepas-3-in-1-rice-cooker-steamer-with-keep-warm-2.8litres-white-59927.html,Kitchen Appliance
Hoffmans 2.5L Electric Milk Boiling/ Cooking Pacolator/Kettle -Black Cream,"UGX 80,000","UGX 55,000",31%,,,https://www.jumia.ug/hoffmans-2.5l-electric-milk-boiling-cooking-pacolatorkettle-black-cream-253367325.html,Kitchen Appliance
Sokany Juicer Extractor - Color May Vary,"UGX 200,000","UGX 110,000",45%,4.2,27.0,https://www.jumia.ug/sokany-juicer-extractor-color-may-vary-101057914.html,Kitchen Appliance
Sokany Single Electric Stove High Quality Hot Plate Electric Cooking- Yellow,"UGX 80,000","UGX 75,000",6%,,,https://www.jumia.ug/sokany-single-electric-stove-high-quality-hot-plate-electric-cooking-yellow-131205106.html,Kitchen Appliance
Digiwave Commercial Blender 2Litres DWBL1121 BPA Free Jar & 100% Copper Motor - Red & Black,"UGX 380,000","UGX 151,500",60%,,,https://www.jumia.ug/digiwave-commercial-blender-2litres-dwbl1121-bpa-free-jar-100-copper-motor-red-black-249787917.html,Kitchen Appliance
Hoffmans  6L / 6 liters Air fryer,"UGX 250,000","UGX 138,000",45%,3.7,3.0,https://www.jumia.ug/hoffmans-6l-6-liters-air-fryer-115403352.html,Kitchen Appliance
Portable & Rechargeable Battery Juice Blender - Blue,"UGX 120,002","UGX 38,000",68%,3.0,2.0,https://www.jumia.ug/portable-rechargeable-battery-juice-blender-blue-generic-mpg92287.html,Kitchen Appliance
/ Phillips 1.9litres ProBlend System Electric Blender 450W 3000 Series -Black,"UGX 203,000","UGX 159,990",21%,4.5,39.0,https://www.jumia.ug/philips-1.9litres-problend-system-blender-450w-3000-series-black-white-generic-mpg114897.html,Kitchen Appliance
2 Slice Bread Toaster - Black/White,"UGX 52,000","UGX 49,000",6%,3.9,149.0,https://www.jumia.ug/2-slice-bread-toaster-blackwhite-generic-mpg521785.html,Kitchen Appliance
Hoffmans 2Litre Meat Grinder/food Processor - Silver,"UGX 100,000","UGX 52,000",48%,,,https://www.jumia.ug/hoffmans-2litre-meat-grinderfood-processor-silver-252710073.html,Kitchen Appliance
Hisense Microwave Oven- 20 Liter - Silver,"UGX 460,000","UGX 269,000",42%,,,https://www.jumia.ug/microwave-oven-20-liter-silver-hisense-mpg5652770.html,Kitchen Appliance
3.5L Stainless Steel Meat Grinder Chopper Multi-Function Food Processor- Blue,"UGX 90,000","UGX 55,000",39%,4.3,14.0,https://www.jumia.ug/3l-stainless-steel-meat-grinder-chopper-multi-function-food-processor-blue-raf-mpg487128.html,Kitchen Appliance
Smart Touch Switch Intelligent USB Rechargeable Water Pump Bottle Dispenser - Multi-colours,"UGX 65,000","UGX 50,000",23%,,,https://www.jumia.ug/generic-smart-touch-switch-intelligent-usb-rechargeable-water-pump-bottle-dispenser-multi-colours-251688977.html,Kitchen Appliance
Double Solid Electric Hotplate - White,"UGX 90,000","UGX 61,750",31%,,,https://www.jumia.ug/generic-double-solid-electric-hotplate-white-215827179.html,Kitchen Appliance
"Juicer Machine, Big Mouth Large 3” Feed Chute For Whole Fruits And Vegetables, Easy To Clean, Centrifugal Extractor,","UGX 150,000","UGX 96,000",36%,,,https://www.jumia.ug/generic-juicer-machine-big-mouth-large-3-feed-chute-for-whole-fruits-and-vegetables-easy-to-clean-centrifugal-extractor-247348042.html,Kitchen Appliance
Digiwave 90 Liters Electric Mini Oven 2200w With Rotisserie Function  - Silver,"UGX 600,000","UGX 489,900",18%,,,https://www.jumia.ug/digiwave-90-liters-electric-mini-oven-2200w-with-rotisserie-function-silver-249786056.html,Kitchen Appliance
"Triple Juice Dispenser, 18Litres - White","UGX 2,500,000","UGX 1,800,000",28%,,,https://www.jumia.ug/generic-triple-juice-dispenser-18litres-white-104363802.html,Kitchen Appliance
Hisense 8.6 Liters / 8.6L Dual Airfryer / Air Fryer - Black,"UGX 500,000","UGX 378,000",24%,,,https://www.jumia.ug/8.6-liters-8.6l-dual-airfryer-air-fryer-black-hisense-mpg5669433.html,Kitchen Appliance
Manually Operated Metallic Grinder Mill For Grinding Groundnuts Coffee And Corn-Silver,"UGX 105,000","UGX 98,000",7%,1.0,1.0,https://www.jumia.ug/generic-manually-operated-metallic-grinder-mill-for-grinding-groundnuts-coffee-and-corn-silver-237554583.html,Kitchen Appliance
"Pearllight 2 In1 Double Jar Blender, 1.6 Litres - Multicolor","UGX 75,000","UGX 60,000",20%,,24.0,https://www.jumia.ug/2-in1-double-jar-blender-1.5-litres-white-pearllight-mpg1123702.html,Kitchen Appliance
Saachi  2.8-Litres Rice Cooker With Steaming Function And Of Upto 16 cups of Rice-Silver,"UGX 265,000","UGX 200,000",25%,,,https://www.jumia.ug/saachi-2.8-litres-rice-cooker-with-steaming-function-and-of-upto-16-cups-of-rice-silver-237975301.html,Kitchen Appliance
"Sokany Commercial 140 Mm Big Mouth Cold Press Juicer Machines Blender, Orange Citrus Fruit Vegetable Juice Hydraulic Slow Masticating Juicer Extractor Self Feeding For Batch Juicing, BPA Free For Cafe Home -Multicolor",,"UGX 550,000",,,,https://www.jumia.ug/sokany-commercial-140-mm-big-mouth-cold-press-juicer-machines-blender-orange-citrus-fruit-vegetable-juice-hydraulic-slow-masticating-juicer-extractor-self-feeding-for-batch-juicing-bpa-free-for-cafe-home-multicolor-251700368.html,Kitchen Appliance
AVINAS 8 in 1 Halogen Microwave Oven Black 20L - Black,"UGX 449,996","UGX 280,000",38%,1.0,1.0,https://www.jumia.ug/avinas-8-in-1-halogen-microwave-oven-black-20l-black-33319749.html,Kitchen Appliance
3.6 Liters Rice Cooker For A Big Family - Multicolor,"UGX 230,000","UGX 200,000",13%,,,https://www.jumia.ug/generic-3.6-liters-rice-cooker-for-a-big-family-multicolor-251741248.html,Kitchen Appliance
Hot Plate Solid Double Electric Cooker – White.,"UGX 109,998","UGX 49,000",55%,3.3,36.0,https://www.jumia.ug/double-burner-electric-hotplate-white-generic-mpg581016.html,Kitchen Appliance
Sokany 15L Electric Toaster Oven SK-415 - Black,"UGX 200,000","UGX 96,000",52%,,,https://www.jumia.ug/sokany-15l-electric-toaster-oven-sk-415-black-250036566.html,Kitchen Appliance
Wine Opener - Silver,"UGX 34,992","UGX 23,000",34%,,10.0,https://www.jumia.ug/wine-opener-silver-generic-mpg351274.html,Kitchen Appliance
Kenwood 2 in 1 Electric Blender With Meal Greater,"UGX 120,000","UGX 75,000",38%,,,https://www.jumia.ug/kenwood-2-in-1-electric-blender-with-meal-greater-245441906.html,Kitchen Appliance
"Electric Peanut Butter Maker With Removable Grinding Disk And Container, Home Anti Slip Grain Grinder For Cashews, Almonds, Hazelnuts, Nut Cooking Grinder Home Tahini Machine Automatic Refiner For Bakeries, Western Restaurants, Supermarkets-Multicolor",,"UGX 199,000",,3.0,1.0,https://www.jumia.ug/generic-electric-peanut-butter-maker-with-removable-grinding-disk-and-container-home-anti-slip-grain-grinder-for-cashews-almonds-hazelnuts-nut-cooking-grinder-home-tahini-machine-automatic-refiner-for-bakeries-western-restaurants-supermarkets-multicolor-251700357.html,Kitchen Appliance
"Hoffmans 4 Ln1 Electric Juicer,Blender/Extractor,1.5L- Silver","UGX 300,000","UGX 198,000",34%,,,https://www.jumia.ug/4-ln1-electric-juicerblenderextractor1.5l-silver-hoffmans-mpg6430483.html,Kitchen Appliance
Smartec 38 Liters Oven With Two Hot Plates - Black 1 Yr warranty,"UGX 500,000","UGX 258,300",48%,4.7,3.0,https://www.jumia.ug/smartec-38-liters-oven-with-two-hot-plates-black-1-yr-warranty-135790458.html,Kitchen Appliance
Kenwood 800W Blender Grinder Chopper Meat Grinder Smoothie maker BLP44- Silver(1 YR WRTY),"UGX 382,000","UGX 335,750",12%,5.0,1.0,https://www.jumia.ug/kenwood-800w-blender-grinder-chopper-meat-grinder-smoothie-maker-blp44-silver1-yr-wrty-142578609.html,Kitchen Appliance
Scarlett Parcolator 2ltr - Silver,,"UGX 50,000",,3.6,18.0,https://www.jumia.ug/scarlett-parcolator-2ltr-silver-8218482.html,Kitchen Appliance
"Sonifer 2 Slice Bread Toasters - Silver,Black","UGX 79,988","UGX 59,000",26%,3.8,16.0,https://www.jumia.ug/2-slice-bread-toasters-silverblack-sonifer-mpg63356.html,Kitchen Appliance
Mini USB Portable Electric Fruit Blender - green/pink/purple,"UGX 56,000","UGX 38,500",31%,3.1,22.0,https://www.jumia.ug/generic-mini-usb-portable-electric-fruit-blender-greenpinkpurple-31145934.html,Kitchen Appliance
RAF Slow Juicer & Juice Extractor - Red,"UGX 400,000","UGX 240,000",40%,3.1,10.0,https://www.jumia.ug/slow-juicer-hm-635-hoffmans-mpg1123780.html,Kitchen Appliance
Single Coil Hot Plate 1000w - White,"UGX 48,000","UGX 26,800",44%,3.8,31.0,https://www.jumia.ug/single-coil-hot-plate-1000w-white-generic-mpg6297016.html,Kitchen Appliance
Hoffmans 2.5L Electric Milk Boiling/ Cooking Pacolator/Kettle -Black Cream,"UGX 100,000","UGX 65,000",35%,,,https://www.jumia.ug/hoffmans-2.5l-electric-milk-boiling-cooking-pacolatorkettle-black-cream-253343826.html,Kitchen Appliance
Not Specified Bluetooth Wireless Speaker With 1.5 Hours Of Play Time -Multicolour,"UGX 100,000","UGX 54,000",46%,3.5,4.0,https://www.jumia.ug/not-specified-bluetooth-wireless-speaker-with-1.5-hours-of-play-time-multicolour-200129959.html,bluetooth speaker
Universal Speaker Portable Non-Slip Lanyard With Hook For JBL Xtreme 1 / 2 / 3(Orange),"UGX 37,999","UGX 25,280",33%,3.0,2.0,https://www.jumia.ug/universal-speaker-portable-non-slip-lanyard-with-hook-for-jbl-xtreme-1-2-3orange-generic-mpg850966.html,bluetooth speaker
"Jbl Go 3 Portable Speaker With Bluetooth, Built-in Battery, Waterproof And Dustproof Feature - grey","UGX 200,000","UGX 160,000",20%,3.0,2.0,https://www.jumia.ug/jbl-go-3-portable-speaker-with-bluetooth-built-in-battery-waterproof-and-dustproof-feature-grey-141122688.html,bluetooth speaker
Jbl GO 3 Portable Bluetooth Speaker - Color May Vary,"UGX 200,000","UGX 139,900",30%,5.0,2.0,https://www.jumia.ug/jbl-go-3-portable-bluetooth-speaker-color-may-vary-111131328.html,bluetooth speaker
Bluetooth Speaker FM Radio Gift With 3 Modes USB Charging Radio Digital Dual Alarm Clock,"UGX 98,676","UGX 27,451",72%,3.3,12.0,https://www.jumia.ug/generic-bluetooth-speaker-fm-radio-gift-with-3-modes-usb-charging-radio-digital-dual-alarm-clock-115616287.html,bluetooth speaker
Jbl GO 2 Portable Waterproof Bluetooth Speaker - Black,"UGX 200,000","UGX 125,000",38%,4.0,9.0,https://www.jumia.ug/jbl-go-2-portable-waterproof-bluetooth-speaker-black-111077164.html,bluetooth speaker
Music Mini Speaker Premium Bas And Stereo Wireless Bluetooth Speaker - Black,,"UGX 34,000",,4.3,12.0,https://www.jumia.ug/premium-bas-and-stereo-wireless-bluetooth-speaker-black-music-mini-speaker-mpg4788935.html,bluetooth speaker
New Rixing Bluetooth Wireless Speaker Sound Bar Home Theatre-Multicolor,"UGX 99,995","UGX 89,999",10%,4.3,33.0,https://www.jumia.ug/bluetooth-wireless-speaker-sound-bar-home-theatre-black-new-rixing-mpg106998.html,bluetooth speaker
SPJ 3.1 Channel FM/SD Multimedia Bluetooth Home Audio System / Sub Woofer- Black.,"UGX 150,000","UGX 97,000",35%,3.8,236.0,https://www.jumia.ug/3.1-channel-fmsd-multimedia-bluetooth-home-audio-system-sub-woofer-black.-spj-mpg6087522.html,bluetooth speaker
Pecified Bluetooth Wireless Speaker With 8 Hours Of Play Time - Multicolour,"UGX 85,000","UGX 57,000",33%,3.4,73.0,https://www.jumia.ug/generic-pecified-bluetooth-wireless-speaker-with-8-hours-of-play-time-multicolour-30005162.html,bluetooth speaker
BoomBest Powerful Bluetooth Wireless Speaker With Radio-Black,"UGX 60,000","UGX 55,000",8%,4.7,9.0,https://www.jumia.ug/boombest-powerful-bluetooth-wireless-speaker-with-radio-black-131828406.html,bluetooth speaker
CTC 3.1 CH 20000watts AC/DC/FM/BT/USD/SD Card/ AUX Input Sub Woofer System/Speaker  – Black,"UGX 170,000","UGX 116,700",31%,3.0,1.0,https://www.jumia.ug/ctc-3.1-ch-20000watts-acdcfmbtusdsd-card-aux-input-sub-woofer-systemspeaker-black-230555347.html,bluetooth speaker
Wireless HIFI Bluetooth Speaker Equipped With Mobile Wireless Fast Charging,"UGX 123,200","UGX 69,000",44%,,,https://www.jumia.ug/generic-wireless-hifi-bluetooth-speaker-equipped-with-mobile-wireless-fast-charging-206613582.html,bluetooth speaker
New Rixing Bluetooth Wireless Speaker With Microphone-Black,"UGX 105,000","UGX 95,000",10%,5.0,2.0,https://www.jumia.ug/new-rixing-bluetooth-wireless-speaker-with-microphone-black-53790435.html,bluetooth speaker
Oraimo OBS-75D Bass Go Boom Speaker – Black (1 YR WRNTY),"UGX 298,000","UGX 200,000",33%,5.0,2.0,https://www.jumia.ug/oraimo-obs-75d-bass-go-boom-speaker-black-1-yr-wrnty-144380074.html,bluetooth speaker
Rechargeable Speaker With Microphone For Street Preaching-Black,"UGX 305,000","UGX 299,999",2%,5.0,2.0,https://www.jumia.ug/generic-rechargeable-speaker-with-microphone-for-street-preaching-black-230896754.html,bluetooth speaker
Jbl Clip 4 Speaker Portable Water -Multicolor,"UGX 250,000","UGX 230,000",8%,4.5,4.0,https://www.jumia.ug/jbl-clip-4-speaker-portable-water-multicolor-113709698.html,bluetooth speaker
"Hf Rechargeable FM/SD/USB Bluetooth Radio Speaker - Black, Color May Vary",,"UGX 29,000",,3.8,12.0,https://www.jumia.ug/rechargeable-fmsdusb-bluetooth-radio-speaker-black-color-may-vary-hf-mpg67488.html,bluetooth speaker
Jbl CLIP 4 - Waterproof Portable Bluetooth Speaker Multicolor,"UGX 300,000","UGX 230,000",23%,,32.0,https://www.jumia.ug/clip-4-waterproof-portable-bluetooth-speaker-black-jbl-mpg55757.html,bluetooth speaker
RichRipple Colorful RGB Wireless Speaker Mini Portable Stereo Sound BT 5.0 Speake,"UGX 50,012","UGX 19,790",60%,3.8,56.0,https://www.jumia.ug/richripple-colorful-rgb-wireless-speaker-mini-portable-stereo-sound-bt-5.0-speake-116998105.html,bluetooth speaker
Jbl GO 2 Portable Waterproof Bluetooth Speaker - Black,"UGX 200,000","UGX 125,000",38%,5.0,2.0,https://www.jumia.ug/jbl-go-2-portable-waterproof-bluetooth-speaker-black-111076591.html,bluetooth speaker
Portable Wirewless Speaker With Super Bass And Good Sound-Multicolour,"UGX 105,000","UGX 100,000",5%,,,https://www.jumia.ug/generic-portable-wirewless-speaker-with-super-bass-and-good-sound-multicolour-246868732.html,bluetooth speaker
Jbl Flip 6 Waterproof Portable Wireless Bluetooth Speaker - Black,"UGX 700,000","UGX 370,000",47%,,9.0,https://www.jumia.ug/jbl-flip-6-waterproof-portable-wireless-bluetooth-speaker-black-73613090.html,bluetooth speaker
Jbl Boombox 3 - Portable Bluetooth Speaker - Black,"UGX 2,500,000","UGX 1,780,000",29%,,,https://www.jumia.ug/jbl-boombox-3-portable-bluetooth-speaker-black-110886719.html,bluetooth speaker
Bluetooth Speaker Digital Alarm Clock Large LED Screen,"UGX 50,547","UGX 39,000",23%,3.4,48.0,https://www.jumia.ug/generic-bluetooth-speaker-digital-alarm-clock-large-led-screen-93494304.html,bluetooth speaker
Hopestar High Efficient Loud Speaker With 2 Microphones Wireless Deep Bass Party Speaker-Multicolours,"UGX 580,000","UGX 499,999",14%,1.0,1.0,https://www.jumia.ug/hopestar-high-efficient-loud-speaker-with-2-microphones-wireless-deep-bass-party-speaker-multicolours-236877891.html,bluetooth speaker
"Wireless SuperBass Fm, TF, Usb Bluetooth Speaker- Multicolour","UGX 150,000","UGX 85,000",43%,3.8,20.0,https://www.jumia.ug/generic-wireless-superbass-fm-tf-usb-bluetooth-speaker-multicolour-116270868.html,bluetooth speaker
Kisonli X26 USB Wired Bluetooth Speaker 7w With Aux,"UGX 266,000","UGX 141,550",47%,3.4,5.0,https://www.jumia.ug/kisonli-x26-usb-wired-bluetooth-speaker-7w-with-aux-116933615.html,bluetooth speaker
Speaker With Clear Sound Dynamic Design And 15Hours Of Play Time-Multicolour,"UGX 68,000","UGX 59,999",12%,4.0,4.0,https://www.jumia.ug/generic-speaker-with-clear-sound-dynamic-design-and-15hours-of-play-time-multicolour-170191012.html,bluetooth speaker
"M3 Mini Wireless Bluetooth Speaker Portable Subwoofer Outdoor Mini - Red, Blue, Black","UGX 50,000","UGX 33,250",34%,3.3,16.0,https://www.jumia.ug/m3-mini-wireless-bluetooth-speaker-portable-subwoofer-outdoor-mini-red-blue-black-generic-mpg5405864.html,bluetooth speaker
Party Bass Bluetooth Speaker With In-built Microphone - Black,"UGX 140,000","UGX 73,000",48%,3.8,88.0,https://www.jumia.ug/party-bass-bluetooth-speaker-with-in-built-microphone-black-generic-mpg251073.html,bluetooth speaker
Hopestar Fashion Wireless Speaker With Good Base And Clear Sound 5.3 Wireless Standard Tf Card Usb - Multicoloe,"UGX 250,000","UGX 200,000",20%,,,https://www.jumia.ug/hopestar-fashion-wireless-speaker-with-good-base-and-clear-sound-5.3-wireless-standard-tf-card-usb-multicoloe-248069235.html,bluetooth speaker
Jbl GO 2 Portable Waterproof Bluetooth Speaker - blue,"UGX 200,000","UGX 125,000",38%,5.0,2.0,https://www.jumia.ug/jbl-go-2-portable-waterproof-bluetooth-speaker-blue-111076860.html,bluetooth speaker
Powerful Portable Speaker With  A Good Bass And Wireless Stereo Sound Shocking Volume With A Wider Coverage-Multicolours,"UGX 350,000","UGX 349,900",1%,,,https://www.jumia.ug/generic-powerful-portable-speaker-with-a-good-bass-and-wireless-stereo-sound-shocking-volume-with-a-wider-coverage-multicolours-239576808.html,bluetooth speaker
Mini Speaker M3 Black Compatible With All Phones Black,"UGX 150,000","UGX 100,000",33%,5.0,1.0,https://www.jumia.ug/generic-mini-speaker-m3-black-compatible-with-all-phones-black-227095329.html,bluetooth speaker
"Jbl Go 3 Portable Speaker With Bluetooth, Built-in Battery, Waterproof And Dustproof Feature - Color May Vary","UGX 200,000","UGX 139,900",30%,3.7,29.0,https://www.jumia.ug/go-3-portable-speaker-with-bluetooth-built-in-battery-waterproof-and-dustproof-feature-red-jbl-mpg382679.html,bluetooth speaker
Boom Best Extra Bass Wireless Speaker Bluetooth With Clear Sound- Multicolours,"UGX 65,000","UGX 59,900",8%,5.0,1.0,https://www.jumia.ug/generic-boom-best-extra-bass-wireless-speaker-bluetooth-with-clear-sound-multicolours-241975368.html,bluetooth speaker
Mini Speaker Portable Bluetooth Tf Fm Speaker - Color May Vary,"UGX 35,000","UGX 32,000",9%,4.2,89.0,https://www.jumia.ug/136-portable-bluetooth-tf-fm-speaker-colour-may-vary-mini-speaker-mpg251564.html,bluetooth speaker
High Definition Light Luxury Professional Karaoke Audio Wireless Portable Speaker With Microphone-Black,"UGX 155,000","UGX 150,000",3%,5.0,1.0,https://www.jumia.ug/generic-high-definition-light-luxury-professional-karaoke-audio-wireless-portable-speaker-with-microphone-black-239576803.html,bluetooth speaker
Portable Bluetooth Wireless Speaker 10w Power Led Lights,"UGX 100,177","UGX 51,975",48%,3.3,3.0,https://www.jumia.ug/generic-portable-bluetooth-wireless-speaker-10w-power-led-lights-224718766.html,bluetooth speaker
Hf Bluetooth FM Rechargeable Portable Speaker - Black,"UGX 50,000","UGX 46,550",7%,,,https://www.jumia.ug/generic-hf-bluetooth-fm-rechargeable-portable-speaker-black-129204583.html,bluetooth speaker
Boombest  Wireless Bluetooth Speaker & Radio With Radio-Black Blue Gold Green,"UGX 120,000","UGX 52,000",57%,1.0,1.0,https://www.jumia.ug/generic-boombest-wireless-bluetooth-speaker-radio-with-radio-black-blue-gold-green-158722105.html,bluetooth speaker
Echo Dot 2nd Generation- Black+Blue,,"UGX 250,000",,5.0,1.0,https://www.jumia.ug/generic-echo-dot-2nd-generation-blackblue-32739880.html,bluetooth speaker
Professional Large Rechargeable Speaker System With 2 Microphones And A Remote Control For Parties Disco Spreading The Gospel -Black,"UGX 750,000","UGX 699,999",7%,,,https://www.jumia.ug/generic-professional-large-rechargeable-speaker-system-with-2-microphones-and-a-remote-control-for-parties-disco-spreading-the-gospel-black-239921815.html,bluetooth speaker
BoomBest Speaker SUPER BASS Speaker Bluetooth Wireless Speaker -Black/Green,"UGX 100,000","UGX 88,000",12%,5.0,1.0,https://www.jumia.ug/boombest-speaker-super-bass-speaker-bluetooth-wireless-speaker-blackgreen-214867973.html,bluetooth speaker
Onyx Harman Kardon Studio 8 Bluetooth Wireless Portable Speaker - Black,"UGX 1,299,995","UGX 810,000",38%,4.3,3.0,https://www.jumia.ug/studio-7-wireless-bluetooth-speaker-black-onyx-mpg251581.html,bluetooth speaker
"USB Computer Phone, Laptop Speakers - Green","UGX 33,000","UGX 32,000",3%,3.7,15.0,https://www.jumia.ug/usb-computer-phone-laptop-speakers-green-generic-mpg67984.html,bluetooth speaker
Jbl Charge 5 Portable Waterproof  Bluetooth Speaker -Pink,"UGX 799,997","UGX 480,000",40%,,16.0,https://www.jumia.ug/charge-5-portable-waterproof-bluetooth-speaker-black-jbl-mpg86776.html,bluetooth speaker
AILIPU Party Bass Bluetooth Speaker with In-built Microphone - Black,"UGX 190,000","UGX 164,000",14%,4.2,11.0,https://www.jumia.ug/party-bass-bluetooth-speaker-with-in-built-microphone-black-ailipu-mpg850424.html,bluetooth speaker
12 Inch Professional Rechargeable Speaker For Public Speaking (Y1204) - Multicolor,"UGX 600,000","UGX 500,000",17%,,,https://www.jumia.ug/generic-12-inch-professional-rechargeable-speaker-for-public-speaking-y1204-multicolor-241974224.html,bluetooth speaker
